Model,RMSE,MAE,MAPE%,R2
LSTM（未优化）,0.056387,0.040654,11.883,0.932734
LSTM（网格搜索）,0.058615,0.042385,12.8242,0.927313
Bi-GRU（未优化）,0.058468,0.044039,16.1427,0.927676
Bi-GRU（网格搜索）,0.056483,0.041693,14.2608,0.932505
ARIMA（网格搜索）,0.064923,0.047043,14.192,0.910827
ARIMA（未优化）,0.064928,0.04704,14.1325,0.910811
LSTM（贝叶斯优化）,0.057447,0.041767,12.7728,0.930181
